,Class,CX1_H01,CX1_H06,CX1_H16,CX1_H36,CX1_H76,CX1_V0,CX1_V01,CX1_V06,CX1_V16,CX1_V36,CX1_V76,CX2_H01,CX2_H06,CX2_H36,CX2_H76,CX2_V0,CX2_V01,CX2_V06,CX2_V16,CX2_V36,CX2_V76,CX3_H01,CX3_H06,CX3_H16,CX3_H36,CX3_H76,CX3_V0,CX3_V01,CX3_V06,CX3_V16,CX3_V36,CX3_V76,HF1_H01,HF1_H06,HF1_H16,HF1_H76,HF1_V01,HF1_V06,HF1_V16,HF1_V76,HF2_H01,HF2_H06,HF2_H16,HF2_H76,HF2_V0,HF2_V01,HF2_V06,HF2_V16,HF2_V36,HF2_V76,HF3_H01,HF3_H06,HF3_H16,HF3_H36,HF3_H76,HF3_V0,HF3_V01,HF3_V06,HF3_V16,HF3_V36,HF3_V76,HS1_H01,HS1_H06,HS1_H16,HS1_H36,HS1_H76,HS1_V0,HS1_V01,HS1_V06,HS1_V16,HS1_V36,HS1_V76,HS2_H06,HS2_H16,HS2_H36,HS2_H76,HS2_V0,HS2_V01,HS2_V06,HS2_V16,HS2_V36,HS2_V76,HS3_H01,HS3_H06,HS3_H16,HS3_H36,HS3_H76,HS3_V0,HS3_V01,HS3_V06,HS3_V16,HS3_V36,HS3_V76,JR1_H01,JR1_H06,JR1_H16,JR1_H36,JR1_H76,JR1_V0,JR1_V01,JR1_V06,JR1_V16,JR1_V36,JR1_V76,JR2_H01,JR2_H06,JR2_H16,JR2_H36,JR2_H76,JR2_V0,JR2_V01,JR2_V06,JR2_V16,JR2_V36,JR2_V76,JR3_H01,JR3_H06,JR3_H16,JR3_H36,JR3_H76,JR3_V0,JR3_V01,JR3_V06,JR3_V16,JR3_V36,JR3_V76,TC1_H01,TC1_H06,TC1_H16,TC1_H36,TC1_H76,TC1_V0,TC1_V01,TC1_V06,TC1_V16,TC1_V36,TC1_V76,TC2_H01,TC2_H06,TC2_H16,TC2_H36,TC2_H76,TC2_V0,TC2_V01,TC2_V06,TC2_V16,TC2_V36,TC2_V76,TC3_H01,TC3_H06,TC3_H36,TC3_H76,TC3_V0,TC3_V01,TC3_V06,TC3_V16,TC3_V36,TC3_V76,XT1_H01,XT1_H06,XT1_H16,XT1_H36,XT1_H76,XT1_V0,XT1_V01,XT1_V06,XT1_V16,XT1_V36,XT1_V76,XT2_H01,XT2_H06,XT2_H16,XT2_V0,XT2_V01,XT2_V06,XT2_V16,XT2_V36,XT2_V76,XT3_H01,XT3_H06,XT3_H16,XT3_H36,XT3_H76,XT3_V16,XT3_V36,XT3_V76
1,c__Agaricomycetes,0.109651405,0.124975476,0.122017354,0.077089295,0.077722693,0.169937285,0.121207069,0.120182841,0.093081575,0.10633633,0.101068999,0.084606469,0.2301,0.076848077,0.069898652,0.091655028,0.101485149,0.063201663,0.2195,0.064748201,0.111855121,0.03735,0.0294,0.03475,0.05345,0.024547139,0.090837593,0.245074298,0.0159,0.02465083,0.02735,0.062292157,0.072756063,0.0604,0.0738,0.4219,0.116108549,0.06305,0.05505,0.0604,0.05355,0.026642018,0.018,0.02375,0.10545,0.0375,0.044688236,0.026498862,0.041,0.029059829,0.047541576,0.054990662,0.08061978,0.3021,0.064,0.076185206,0.048323794,0.040080362,0.05995,0.069722911,0.071853023,0.04605,0.089524337,0.09557596,0.319144219,0.118497426,0.046685582,0.1103,0.700531697,0.190059683,0.048594848,0.34145,0.218133398,0.181428571,0.060470124,0.146253484,0.075152113,0.191578695,0.204018177,0.20472291,0.182903226,0.379183861,0.121998914,0.064534471,0.091694852,0.067324434,0.111225692,0.076671115,0.04395,0.03525,0.29958517,0.102441043,0.170506912,0.124069732,0.315609571,0.025633383,0.15685435,0.088871388,0.076880081,0.10755,0.1947,0.084398595,0.061525717,0.041394336,0.065802526,0.058053966,0.151663128,0.06681465,0.17300714,0.082088591,0.07905,0.069785884,0.0569163,0.052476789,0.092173271,0.062315125,0.0707,0.06032207,0.115532031,0.08461431,0.080041877,0.032459157,0.101226464,0.0841192,0.467151599,0.199464199,0.054401764,0.070895141,0.049723365,0.0623,0.5405,0.098760013,0.086987607,0.113121019,0.090995662,0.06869155,0.189020293,0.0548,0.04385,0.143867329,0.141038801,0.108562691,0.2039,0.279162512,0.08455,0.117105087,0.072141431,0.110402623,0.745712244,0.068957617,0.1149954,0.0479,0.22081044,0.075730471,0.152014995,0.07511369,0.153236621,0.0757,0.25621824,0.141173389,0.132352941,0.137203166,0.099043626,0.096180041,0.10996904,0.147812166,0.153494544,0.128836175,0.132390746,0.120950324,0.200620877,0.28617443,0.098358336,0.18435396,0.136001846,0.247206231,0.352824463,0.090793381,0.154522153,0.104031209,0.102624595,0.106275682,0.121678322,0.085252664,0.118616527,0.11029176
2,c__Agaricostilbomycetes,0.073881374,0.008240141,0.005422993,0.00776733,0.002798657,0.007687639,0.073191064,0.015400844,0.00368786,0.017540013,0.006154843,0.008429038,0.00225,0.003545471,0.003865845,0.00698324,0.001506672,0.001801802,0.00115,0.00318207,0.007989651,0.0029,0.00165,0.00225,0.0004,0.000463154,0.002687115,0.009961475,0.00045,0,0.00225,0.004542136,0.002666889,0.00855,0.01375,0.0165,0.002040971,0.002,0.1296,0.0257,0.00345,0.000652458,0.0007,0.00055,0.02135,0.0008,0.002851122,0.001201619,0.0013,0.000804424,0.003344179,0.006847894,0.007263043,0.00225,0.00175,0.002767017,0.001717089,0.004620794,0.00765,0.002027484,0.003161969,0.00015,0.004292737,0.001669449,0.001773639,0.00186179,0.000171954,0.0044,0.002535787,0.004116073,0.00161007,0.00675,0.004236775,0.006571429,0.012201687,0.013608788,0.000822233,0.003598848,0.01124133,0.006474957,0.002741935,0.004585053,0.005975014,0.001208244,0.001503194,0.00101567,0.008397171,0.006854301,0.0043,0.0173,0.002463054,0.00769549,0.018274273,0.001733102,0.04329662,0.002160954,0.006850781,0.002241473,0.00050813,0.0006,0.00915,0.006279435,0.001807365,0.001281558,0.001058131,0.000272554,0.000636943,0.000887902,0.002575208,0.002060263,0.00195,0.003050082,0.001409692,0.002191338,0.001845927,0.000460133,0.0015,0.001385956,0.001642636,0.001676914,0.000571048,0.000698624,0.001036448,0.003143468,0.001212331,0.011811982,0.003124426,0.004808184,0.006312952,0.02245,0.0028,0.005157467,0.002740705,0.001910828,0.003332981,0.020690226,0.001209515,0.0506,0.0472,0.005219295,0.00677479,0.00218436,0.00185,0.002160186,0.05345,0.004005875,0.003421728,0.005283294,0.000952835,0.002749141,0.004599816,0.00225,0.004120879,0.004099583,0.005060918,0.013172338,0.00902109,0.00275,0.004814121,0.003143007,0.003676471,0.020756376,0.003013232,0.004145691,0.025263158,0.010850231,0.003686228,0.005189029,0.002784919,0.006086786,0.002975036,0.00049554,0.002405887,0.010580314,0.019379398,0.008465967,0.001867414,0.005091218,0.010252655,0.006501951,0.02536125,0.007844602,0.020512821,0.022344448,0.00371402,0.008175697
3,c__Archaeorhizomycetes,0,0.001177163,0.000650759,0.000292005,8.00E-05,0.000404613,0.000166722,0.000140647,0.000147514,0.00065775,0.00010798,0.000105363,0.00145,0.00026591,0.00637342,0.002444134,0.001829531,0.000554401,0.0027,0.000276702,0.006315629,0.00005,0,0,0.00295,5.15E-05,0,0,0,0.001134058,0.00005,8.11E-05,0,0,0,0,7.56E-05,0,0.0001,0.0001,0.0002,0,0.00015,0.0001,0,0.00015,0,0.000126486,0.00005,0.000201106,0,0,0,0.00015,0.00225,0,8.18E-05,0,0.00045,0.000337914,5.45E-05,0,0,0,0,0.003395028,0,0.001,0.000736196,0,0,0,0.000363152,0,0,0,0,0,0,0,0,0,0.00032591,0,0.000626331,0.000290192,0.000294638,0.00097052,0.00005,0.00015,0,0.000413736,0,0,0,7.45E-05,0.000856348,0,0,0.00065,0.00005,0.000373776,0,0,0,0.000545108,7.08E-05,0.000221976,0,0.000321916,0.0018,0,0,0.000115334,0.000369185,0.0001972,0,0.000263992,0,0.000698714,0,0,0.000172741,0.000377216,0.00017319,0.000121773,0.001102738,0.000613811,0.000780253,0.0001,0,0,0,0.000127389,0,0.000744848,0.000201586,0,0,0,0,0,0.00005,0,0.00005,0.000133529,0,0,0.000476417,0,0,0,0,0,0.000187441,0.000156814,0.000243813,0.0013,0.000267451,0,0,0,0,0,0,0,0,0,0,0.000392696,0,0,0,0.001923693,0.001384243,0.001354555,0.000816993,0.000848536,0.001464665,0.000433463,0.000589797,0.000373552,0.0004662,0,0,0
4,c__Arthoniomycetes,0.000650364,0.00255052,0.001409978,0.000817614,0.000559731,0.00074179,0,0.00021097,0.000885086,0,0.001403736,0.002950163,0.00015,0.002659103,0.000417929,0.001920391,0.000968575,0.0004158,0.00105,0.001383509,0,0.00055,0.0007,0.0001,0.0025,0.000360231,0.002556036,0.000770501,0.0005,0.000477498,0.00115,0.000324438,0.000833403,0.0002,0.00025,0,0.000453549,0.00075,0.00025,0.0001,0.00065,0.000543715,0.00035,0,0.00035,0.0001,0.000309905,0.000189729,0.0001,0.001106083,0.00027115,0.002005949,0.001936812,0.0007,0.00035,0.003504888,0.000654129,0.001155198,0.00095,0.000112638,5.45E-05,0.00005,6.92E-05,0.000834725,0,0,0,0,8.18E-05,0,0.00029274,0,0.000726304,0.001,0.000717746,0.001967536,0,0.000119962,0.00263095,0.00057132,0.001612903,0,0.001195003,0,0,0,0,0.000909863,0.00005,0,0,0.000165494,0.002224694,0.000611683,0,0.001415797,0.000214087,0,0.003353659,0,0.00025,0.000523286,0.000451841,0,0.000529066,0,0.0004954,0.001331853,0.003862812,0,0.0004,6.10E-05,0.001938326,0.000288334,0.000246124,0.000262933,0,0.000725977,0.000547545,0.000908329,0.000761397,5.37E-05,0.00241838,0,0.00023092,0.000608865,0,0.000818414,0.00035466,0.0002,0.00055,0.001097333,0.001310772,0.001528662,0.00095228,0.000662087,0.000604757,0.00045,0.00045,0.001094368,0.004721823,0.000218436,0.0001,0.000830841,0.00185,0.000667646,0.000855432,0.000182183,0,0.000229095,0.000367985,0.00035,0,0.000298151,0.000937207,0.001254508,0.00036572,0.00125,0.00668628,0.001309586,0.001593137,0.004925242,0.001179091,0.000355345,0.007678019,0.002134472,0.003096432,0.005040771,0.002570694,0.002748871,0.000905446,0,0.001132182,0.003526771,0.002999193,0,0.000583567,0.000848536,0.00292933,0.00390117,0.002359186,0.000560329,0.0004662,0.000687521,0.000232126,0.002244309
5,c__Ascomycota_Incertae sedis,0.076873049,0.122032568,0.094143167,0.07679729,0.068846953,0.131971138,0.07369123,0.051547117,0.106800413,0.155886867,0.119209589,0.175745443,0.05155,0.151923418,0.058301118,0.080132682,0.099440379,0.146084546,0.01745,0.070558937,0.138943844,0.06195,0.0263,0.03575,0.10875,0.033861671,0.080023594,0.025811778,0.0154,0.000716247,0.05595,0.046638008,0.099758313,0.0128,0.0439,0.0159,0.056088896,0.0564,0.0243,0.03555,0.02275,0.07753371,0.0534,0.00795,0.0308,0.0317,0.07425313,0.055717177,0.0872,0.039517345,0.120480839,0.064951235,0.059556954,0.02625,0.04515,0.064655968,0.060588716,0.044450025,0.0606,0.077157017,0.057242545,0.0142,0.010593367,0.046327212,0.029375901,0.036688205,0.000171954,0.00825,0.008343558,0,0.029274005,0.00345,0.057983295,0.048285714,0.011842814,0.050336121,0.033547114,0.049904031,0.051901459,0.071605408,0.058225806,0.050206327,0.09712113,0.029921819,0.064762621,0.044544399,0.076605775,0.013526629,0.0144,0.02045,0.036686544,0.033760861,0.089941205,0.048832705,0,0.052086438,0.024405909,0.053189556,0.072256098,0.05955,0.02975,0.048740375,0.053166654,0.065487633,0.109781099,0.062687381,0.061075725,0.066370699,0.081704319,0.125547257,0.13655,0.134386628,0.079295154,0.127155297,0.138444499,0.084335765,0.10505,0.071937698,0.054389487,0.135480715,0.069477491,0.059114359,0.082743134,0.061486232,0.034003002,0.085484657,0.113398272,0.117647059,0.094055894,0.02955,0.05005,0.106880281,0.138941849,0.117070064,0.058406518,0.055118762,0.05368902,0.0182,0.0263,0.117434127,0.149455964,0.101572739,0.02645,0.086905949,0.024,0.099479236,0.077559167,0.066132265,0.120295379,0.312714777,0.29126035,0.24655,0.248626374,0.343843172,0.297094658,0.365061941,0.248323784,0.16705,0.043861995,0.04924044,0.080269608,0.060510114,0.053059086,0.044595795,0.066006192,0.053006048,0.035682689,0.05693106,0.059125964,0.061064206,0.047729919,0.029732408,0.025191056,0.061878807,0.058830315,0.045377582,0.06372549,0.114128129,0.058220432,0.104898136,0.070185786,0.075831154,0.064335664,0.072189756,0.082404828,0.07983328
6,c__Basidiomycota_Incertae sedis,0.000260146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0,0,0,0,0,0,0,0,0.000168364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000186776,0,0,0,0
7,c__Chytridiomycetes,0.018730489,0.030802433,0.027331887,0.012906617,0.014553015,0.023534965,0.022174058,0.006891702,0.016964154,0.010743258,0.021056041,0.013065009,0.0854,0.013650062,0.012746839,0.019902235,0.012053379,0.015523216,0.09405,0.018539015,0.020316542,0.0126,0.00655,0.00545,0.0158,0.006689996,0.016515926,0.064391855,0.0049,0.000775934,0.01025,0.027658366,0.024502042,0.0061,0.0225,0.0049,0.020182931,0.0196,0.0422,0.0326,0.016,0.033492823,0.01365,0.0194,0.00895,0.01325,0.055472914,0.019731849,0.043,0.018602313,0.018709328,0.062668603,0.035709962,0.01765,0.05065,0.032558569,0.015372036,0.03038674,0.01775,0.016895697,0.032873576,0.0055,0.009970228,0.093071786,0.006207738,0.007228124,0.00868369,0.00375,0.001881391,0.013788845,0.022101874,0.0053,0.024210144,0.017,0.015072672,0.043285785,0.008633448,0.027231286,0.046878737,0.039992382,0.021290323,0.035534159,0.027159153,0.009879176,0.019165727,0.022054556,0.043901002,0.013526629,0.01125,0.0202,0.032797511,0.018866363,0.035118386,0.005199307,0.01272313,0.008867362,0.009348462,0.010843884,0.029878049,0.03575,0.0512,0.032219481,0.017621809,0.017172882,0.040539647,0.015535568,0.010191083,0.013540511,0.030434274,0.023306722,0.0198,0.024156652,0.020176211,0.009745689,0.021781935,0.023269572,0.016,0.11688226,0.023179412,0.057084964,0.010945084,0.013327601,0.031438936,0.019363762,0.028172266,0.044934243,0.041720272,0.037544757,0.033479926,0.0067,0.0151,0.029737737,0.019065777,0.023184713,0.030578775,0.02292477,0.012095149,0.0099,0.01225,0.064736089,0.039622254,0.019877676,0.01445,0.044865404,0.0092,0.036586994,0.033932136,0.030242303,0.00440686,0.023367698,0.026678933,0.01655,0.026442308,0.019827072,0.029803187,0.018817626,0.012678288,0.01935,0.009360792,0.028548979,0.036887255,0.027968338,0.012445958,0.030026651,0.035541796,0.040999644,0.047626069,0.031875463,0.050771208,0.031808364,0.040615703,0.014122894,0.018681008,0.02757294,0.038412735,0.025736539,0.028944911,0.030335172,0.021237642,0.019505852,0.030079623,0.019051177,0.016783217,0.03231351,0.034818942,0.033344021
8,c__Cystobasidiomycetes,0.000260146,0,0,0.000175203,0,0,0,0.00161744,0,0,0,0,0.17095,0,0,0,0,0.000554401,0.30965,0,0,0.0001,0,0,0,0.000154385,0,0.004182719,0.00015,0,0.00005,0.000648877,0.000333361,0.00105,0.00055,0.00035,0.000302366,0,0.00085,0.0017,0.00015,0,0,0,0.00015,0.0001,0,0.000126486,0.00005,0.000703871,0.000361533,0.000968389,0.000484203,0.00035,0.00085,0.000184468,0.000245298,0,0.0001,0,0.000272584,0.00005,0.279512567,0.015442404,0.000332557,0.000109517,0,0.00195,0.000327198,0.243671537,0.00102459,0.1705,0,0,0.00053831,0,0,0,0,0,0,0,0.000543183,0.002416489,0.000250532,0.000290192,0.000441956,0.000788548,0.0005,0.0002,0.000129634,8.27E-05,0,0,0,0,0.000570898,0,0.00101626,0,0.00055,0.000598041,0.000150614,0,0.001124264,0.001090215,0.000212314,0.001109878,0,0.000515066,0.00115,0.000610016,0,0.000634335,0.000615309,0.000525866,0.0001,0,0,0,9.52E-05,0.000107481,0,0,0.00011546,0.001339503,0.001470318,0.003478261,0.000141864,0.0001,0.00005,0.000438933,0.002025739,0.006878981,0.001745847,0.000165522,0.000201586,0,0,0,0,0.000655308,0,0,0,0.000534117,0.001710864,0,0,0.000229095,0,0,0,0,0,0.000784068,0,0.00015,0,0,0,0.000703606,0,0,0.000495356,0.0009783,0,0,0,0,0.000258699,0,0.000141523,0.001282462,0.000115354,0,0.00035014,0.000424268,0,0,0,0.000560329,0,0,0,0
9,c__Dacrymycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,c__Dothideomycetes,0.063475546,0.057484795,0.106073753,0.101092098,0.119862466,0.060287275,0.064354785,0.114486639,0.129222599,0.121683841,0.090486988,0.10409862,0.0332,0.11265733,0.122557726,0.118540503,0.153034869,0.138600139,0.01885,0.09186497,0.093060417,0.04605,0.0512,0.02435,0.05455,0.021974063,0.10512518,0.020858558,0.01515,0.001193745,0.0327,0.044123611,0.061338445,0.36835,0.15555,0.10715,0.045884043,0.06365,0.2153,0.08625,0.3062,0.064810787,0.04055,0.0698,0.1112,0.3535,0.100285112,0.063053377,0.08265,0.074811463,0.03308026,0.063636992,0.055925433,0.0296,0.04645,0.06401033,0.069664759,0.074736313,0.04805,0.058684388,0.065420051,0.04025,0.029149069,0.124373957,0.075933932,0.079728398,0.025105322,0.0451,0.020531697,0.013891747,0.24926815,0.04555,0.049751846,0.062142857,0.013996052,0.078537465,0.032149318,0.039947217,0.056924181,0.038468863,0.040645161,0.047226043,0.094405215,0.05010661,0.069773268,0.03903076,0.039628757,0.039548708,0.04265,0.0776,0.081021519,0.120479934,0.122040362,0.153226629,0.08659324,0.058420268,0.148933134,0.066638396,0.135772358,0.0633,0.08565,0.092023623,0.13208826,0.046136101,0.128695192,0.154538021,0.05576787,0.101442841,0.08697179,0.076616019,0.0834,0.057219545,0.062907489,0.053168791,0.046763475,0.08906856,0.0329,0.015773495,0.032305165,0.052333706,0.03892643,0.033802666,0.055449991,0.03621275,0.029846438,0.066731612,0.059180298,0.060051151,0.045893034,0.01295,0.0458,0.069022276,0.058984747,0.107006369,0.171040102,0.083422991,0.025467007,0.1669,0.08465,0.038555434,0.046397044,0.055482744,0.24635,0.031571951,0.1785,0.042862866,0.032506416,0.072326471,0.005478799,0.055441008,0.03900644,0.2227,0.043784341,0.02757901,0.052296157,0.038105692,0.040716811,0.1082,0.190425247,0.045573599,0.050367647,0.041688654,0.023843836,0.065798046,0.039752322,0.0386873,0.068711295,0.025352113,0.02377892,0.033379148,0.027034019,0.018582755,0.03863572,0.029176018,0.030914754,0.022688791,0.031279178,0.070640645,0.051995606,0.035110533,0.040401062,0.067052671,0.025174825,0.048126504,0.043175487,0.023084322
11,c__Entomophthoromycotina_Incertae sedis,0.000780437,0.000784775,0,0,0,0.001955627,0.001167056,0,0,0.003727253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11E-05,0,0,0,0,0.000151183,0,0.00035,0,0.00025,0,0.00075,0,0,0,0,0,0,0.000804424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110852,0,0,0,0,0,0,0,0,0,0.000358873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000158907,0,0,0,0,0,0,0,0.0022,0,0,0,0,0,0,0,0,0,0,0.000610016,0,5.77E-05,0.000615309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000856898,0,0,0,0,0,0,0,0,0,0,0,0,0.000933881,0,0,0,0
12,c__Eurotiomycetes,0.041623309,0.110849519,0.104446855,0.025521229,0.0158324,0.104322611,0.034178059,0.12862166,0.016521611,0.038368779,0.07202246,0.017068802,0.01745,0.036606985,0.037613624,0.027409218,0.012053379,0.028828829,0.01055,0.026840066,0.031425963,0.01365,0.01985,0.0198,0.0196,0.014203376,0.01828549,0.058282884,0.02135,0.009967769,0.0157,0.028712791,0.015751313,0.08735,0.1271,0.02815,0.02010734,0.1204,0.0717,0.10295,0.03805,0.018595041,0.0268,0.03005,0.0902,0.0291,0.087702987,0.055084746,0.0463,0.038310709,0.023951555,0.053053884,0.032078441,0.0096,0.01805,0.034034311,0.037857727,0.050878955,0.0285,0.055755801,0.026495121,0.0269,0.038219207,0.224540902,0.039906884,0.109297996,0.03146763,0.1317,0.043762781,0.044453591,0.053571429,0.07625,0.045030868,0.052571429,0.052574915,0.045417282,0.012744614,0.084213052,0.052858168,0.034088745,0.051451613,0.010545621,0.056816947,0.019260839,0.225729676,0.054265815,0.038892163,0.041793037,0.02345,0.02935,0.099299974,0.086553579,0.016844113,0.041288612,0.027914926,0.023099851,0.030757154,0.043254377,0.026778455,0.12155,0.0856,0.007849294,0.012425634,0.042547738,0.018517294,0.022894522,0.062491154,0.011320755,0.031721878,0.026912181,0.03135,0.02110657,0.018325991,0.00991869,0.075190746,0.08643923,0.0658,0.016631468,0.013506114,0.011109558,0.032359379,0.13822012,0.025047504,0.032566327,0.018646808,0.0383585,0.024811616,0.162557545,0.029153071,0.0054,0.01115,0.015033469,0.014895138,0.01477707,0.143476881,0.016386659,0.014715764,0.00755,0.04845,0.030053035,0.015602546,0.014853648,0.211,0.015453639,0.018,0.026839364,0.030795552,0.075970122,0.004287756,0.013058419,0.014167433,0.01415,0.013907967,0.016547406,0.008809747,0.004233966,0.00902109,0.03235,0.029687082,0.030644316,0.029289216,0.020580475,0.024367876,0.024696476,0.024272446,0.016986837,0.043350044,0.077687176,0.012639246,0.018456705,0.02677532,0.009910803,0.143928673,0.024366784,0.042104049,0.013884186,0.02124183,0.016758591,0.040278286,0.021673169,0.023296963,0.04818827,0.044289044,0.050189068,0.026694522,0.023084322
